"filename", "language", "Markdown", "YAML", "pip requirements", "Shell Script", "TypeScript", "Python", "TypeScript JSX", "Docker", "Properties", "JSON with Comments", "JSON", "Ignore", "PostCSS", "Ini", "HTML", "comment", "blank", "total"
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/InputField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 39
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/Spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/ToastViewport.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/federico/Documents/Personal-DEV/core/frontend/src/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 113
"/Users/federico/Documents/Personal-DEV/core/frontend/src/contexts/ErrorContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 31
"/Users/federico/Documents/Personal-DEV/core/frontend/src/contexts/LoadingContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 29
"/Users/federico/Documents/Personal-DEV/core/frontend/src/contexts/ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/federico/Documents/Personal-DEV/core/frontend/src/data/bom.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 72
"/Users/federico/Documents/Personal-DEV/core/frontend/src/data/navConfig.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 58
"/Users/federico/Documents/Personal-DEV/core/frontend/src/hooks/useAuth.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/federico/Documents/Personal-DEV/core/frontend/src/hooks/useCapabilities.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 59
"/Users/federico/Documents/Personal-DEV/core/frontend/src/hooks/useResource.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 48
"/Users/federico/Documents/Personal-DEV/core/frontend/src/hooks/useScreenWidth.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"/Users/federico/Documents/Personal-DEV/core/frontend/src/hooks/useToast.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/federico/Documents/Personal-DEV/core/frontend/src/i18n/index.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"/Users/federico/Documents/Personal-DEV/core/frontend/src/i18n/locales/en.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 1, 232
